FAILURE,POSSIBLE_SOLUTION
Connection to database failed,"ENVIRONMENT , 1. Check database credentials 2. Verify network connectivity"
Disk space running low ,"ENVIRONMENT , 1. Delete unnecessary files 2. Expand disk space"
Unable to process user request,"ENVIRONMENT , 1. Check request format 2. Restart application server"
Invalid input received,"SCRIPT ,  1. Validate user input 2. Provide correct input values"
File not found,"SCRIPT , 1. Verify file path in script 2. Create missing file in test script directory"
IndentationError,"SCRIPT ,  Check and fix the indentation in testcase script"
ImportError ,"ENVIRONMENT , Module or package not found  - Install the missing module or fix the import statement"
FileNotFoundError,"SCRIPT , Attempting to access a non-existing file : 1. Verify file path in script; 2. Create missing file in test script directory"
IOError ,"ENVIRONMENT , Check file permissions"
ModuleNotFoundError,"ENVIRONMENT , Module or package not found  - Install the missing module or fix the import statement"
NameError,"SCRIPT ,  Variable or function name not defined - Define the variable or function before using it"
Unable to connect,"SOFTWARE ,  Connection to IP address is denied. Check if IP is reachable using ping command "
XMLParseError,"SCRIPT , Incomplete/ Invalid XML string received as input. Check and fix the XML string format"
JSONDecodeError,"SCRIPT , Invalid JSON input provided. Check and fix the JSON format"
ConnectTimeout, "SOFTWARE ,  Connection to IP address is not successful. Check if IP is valid and reachable"
not found in response, "SOFTWARE , Expected response not found in command result. "
